г.Казань,  районы прилегающие к городу.;452 ;№ 185;"РТ, г.Казань, пр.Х.Ямашева, микрорайон №27, напротив торгового комплекса ""XL""";Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ДТ ;;Регуляр-92 (Аи-92) - 29 руб.;Премиум-95 (Аи-95) - 32.1 руб.;ДТ - 30.8 руб.;;;;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 202;РТ,г.Казань,Советский р-он,ул.Сибирский тракт,;Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ДТ ;;Премиум-95 (Аи-95) - 32.1 руб.;Регуляр-92 (Аи-92) - 29 руб.;ДТ - 30.8 руб.;;;;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 232;РТ,г.Казань,пос.Дербышки, ул.Мира, 67а;Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ДТ ДТ (зимнее) ;;Регуляр-92 (Аи-92) - 29 руб.;Премиум-95 (Аи-95) - 32.1 руб.;ДТ - 30.8 руб.;ДТ (зимнее) - 34 руб.;;;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 238;РТ,г.Казань,ул.Горьковское шоссе, пос.Залесный;Нормаль-80 (А-76) Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ДТ ;;Нормаль-80 (А-76) - 27 руб.;Регуляр-92 (Аи-92) - 29 руб.;Премиум-95 (Аи-95) - 32.1 руб.;ДТ - 30.8 руб.;;;;;;;;;;;;;;;;
Пестречинский район;452 ;№ 8;"РТ,Пестречинский р-он,16км а/д Казань-Н.Челны, 830 км трассы М7 Москва-Н.Новгород-Уфа * С левой стороны дороги по направлению от Москвы.";Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ДТ ДТ (зимнее) Газ ;;Газ - 14 руб.;Регуляр-92 (Аи-92) - 28.8 руб.;Премиум-95 (Аи-95) - 31.9 руб.;ДТ - 26.9 руб.;ДТ (зимнее) - 34 руб.;;;;;;;;;;;;;;;
Зеленодольский район;452 ;№ 181;РТ, Зеленодольский р-он,45 км трассы Казань-Н.Новгород (после моста через р.Волга в районе 500 м) или 783 км трассы М7 Москва-Н.Новгород-Уфа.;Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ДТ ДТ (зимнее) ;;Регуляр-92 (Аи-92) - 28.8 руб.;Премиум-95 (Аи-95) - 31.9 руб.;ДТ - 26.9 руб.;ДТ (зимнее) - 34 руб.;;;;;;;;;;;;;;;;
Зеленодольский район;452 ;№ 182;"167 квартал Зеленодольского лесхоза трасса Казань-Н.Новгород,  783 км трассы М7 Москва-Н.Новгород-Уфа (после моста через р.Волга в районе 500 м) * АЗС 182 зеркальная АЗС 181.";Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ДТ ДТ (зимнее) ;;Регуляр-92 (Аи-92) - 28.8 руб.;Премиум-95 (Аи-95) - 31.9 руб.;ДТ - 26.9 руб.;ДТ (зимнее) - 34 руб.;;;;;;;;;;;;;;;;
г.Набережные Челны;455 ;№ 4;г. Набережные Челны, автодорога №1, поворот на БСИ;Нормаль-80 (А-76) Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ДТ (зимнее) Газ ДТ(5 класса) ;;Нормаль-80 (А-76) - 27 руб.;Регуляр-92 (Аи-92) - 28.8 руб.;Премиум-95 (Аи-95) - 32.1 руб.;Газ - 15 руб.;ДТ(5 класса) - 30.6 руб.;;;;;;;;;;;;;;;
г.Набережные Челны;455 ;№ 5;г. Набережные Челны, автодорога №1, поворот на БСИ;Нормаль-80 (А-76) Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ДТ (зимнее) Газ ДТ(5 класса) ;;Нормаль-80 (А-76) - 27 руб.;Регуляр-92 (Аи-92) - 28.8 руб.;Премиум-95 (Аи-95) - 32.1 руб.;ДТ(5 класса) - 30.6 руб.;Газ - 15 руб.;;;;;;;;;;;;;;;
г.Набережные Челны;455 ;№ 8;г. Набережные Челны, Стройбаза;Регуляр-92 (Аи-92) ДТ (зимнее) ДТ Евро М8В М10Г2К М8Г2К ДТ(3 класса) ДТ(5 класса) ;;М10Г2К - 40 руб.;Регуляр-92 (Аи-92) - 29 руб.;ДТ(5 класса) - 30.8 руб.;ДТ(3 класса) - 27.5 руб.;М8Г2К - 37 руб.;М8В - 39 руб.;;;;;;;;;;;;;;
г.Набережные Челны;455 ;№ 9;г. Набережные Челны, Орловское кольцо, ул. Королёва;Нормаль-80 (А-76) Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ДТ (зимнее) ДТ(5 класса) ;;Регуляр-92 (Аи-92) - 29 руб.;Премиум-95 (Аи-95) - 32.1 руб.;ДТ(5 класса) - 30.8 руб.;Нормаль-80 (А-76) - 27 руб.;;;;;;;;;;;;;;;;
г.Набережные Челны;455 ;№ 11;г. Набережные Челны, Новый город, проспект Чулман;Нормаль-80 (А-76) Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ДТ (зимнее) Газ ДТ(5 класса) ;;Регуляр-92 (Аи-92) - 29 руб.;Премиум-95 (Аи-95) - 32.1 руб.;Нормаль-80 (А-76) - 27 руб.;Газ - 15 руб.;ДТ(5 класса) - 30.8 руб.;;;;;;;;;;;;;;;
г.Набережные Челны;455 ;№ 12;г. Набережные Челны, Новый Город, ул. Раскольникова;Нормаль-80 (А-76) Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ;;Нормаль-80 (А-76) - 27 руб.;Регуляр-92 (Аи-92) - 29 руб.;Премиум-95 (Аи-95) - 32.1 руб.;;;;;;;;;;;;;;;;;
г.Набережные Челны;455 ;№ 13;г. Набережные Челны, Новый город, Ленинградский проспект;Нормаль-80 (А-76) Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ;;Регуляр-92 (Аи-92) - 29 руб.;Премиум-95 (Аи-95) - 32.1 руб.;Нормаль-80 (А-76) - 27 руб.;;;;;;;;;;;;;;;;;
г.Набережные Челны;455 ;№ 14;г. Набережные Челны, Новый Город, проспект Яшьлек;Нормаль-80 (А-76) Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ДТ (зимнее) ДТ(5 класса) ;;Нормаль-80 (А-76) - 27 руб.;Регуляр-92 (Аи-92) - 29 руб.;Премиум-95 (Аи-95) - 32.1 руб.;ДТ(5 класса) - 30.8 руб.;;;;;;;;;;;;;;;;
г.Набережные Челны;455 ;№ 15;г. Набережные Челны, пересечение автодороги №1 с проспектом Вахитова;Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ДТ (зимнее) ДТ(5 класса) ;;Регуляр-92 (Аи-92) - 29 руб.;Премиум-95 (Аи-95) - 32.1 руб.;ДТ(5 класса) - 30.8 руб.;;;;;;;;;;;;;;;;;
г.Набережные Челны;455 ;№ 16;г. Набережные Челны, пересечение ул. Х.Такташа и Сармановского тракта;Нормаль-80 (А-76) Регуляр-92 (Аи-92) Премиум-95 (Аи-95) ;;Регуляр-92 (Аи-92) - 29 руб.;Премиум-95 (Аи-95) - 32.1 руб.;Нормаль-80 (А-76) - 27 руб.;;;;;;;;;;;;;;;;;
г.Набережные Челны;455 ;№ 17;г. Набережные Челны, ЗЯБ (17 комплекс);Нормаль-80 (А-76) Регуляр-92 (Аи-92) Премиум-95 (Аи-95) Супер Евро-98 ДТ (зимнее) ДТ(5 класса) ;;Нормаль-80 (А-76) - 27 руб.;Регуляр-92 (Аи-92) - 29 руб.;Премиум-95 (Аи-95) - 32.1 руб.;ДТ(5 класса) - 30.8 руб.;Супер Евро-98 - 34 руб.;;;;;;;;;;;;;;;
